match_id,match_week,match_date,home_team_home_team_id,home_team_home_team_name,away_team_away_team_id,away_team_away_team_name,home_score,away_score
3749493,1,2003-08-16,1,Arsenal,29,Everton,2,1
3749358,2,2003-08-24,47,Middlesbrough,1,Arsenal,0,4
3749454,4,2003-08-31,36,Manchester City,1,Arsenal,1,2
3749296,5,2003-09-13,1,Arsenal,105,Portsmouth,1,1
3749552,6,2003-09-21,39,Manchester United,1,Arsenal,0,0
3749528,7,2003-09-26,1,Arsenal,37,Newcastle United,3,2
3749253,8,2003-10-04,24,Liverpool,1,Arsenal,1,2
3749079,9,2003-10-18,1,Arsenal,33,Chelsea,2,1
3749526,10,2003-10-26,75,Charlton Athletic,1,Arsenal,1,1
3749346,11,2003-11-01,101,Leeds United,1,Arsenal,1,4
3749196,12,2003-11-08,1,Arsenal,38,Tottenham Hotspur,2,1
3749434,13,2003-11-22,54,Birmingham City,1,Arsenal,0,3
3749192,14,2003-11-30,1,Arsenal,55,Fulham,0,0
3749360,16,2003-12-14,1,Arsenal,98,Blackburn Rovers,1,0
3749278,17,2003-12-20,328,Bolton Wanderers,1,Arsenal,1,1
3749522,18,2003-12-26,1,Arsenal,46,Wolverhampton Wanderers,3,0
3749310,19,2003-12-29,25,Southampton,1,Arsenal,0,1
3749153,21,2004-01-10,1,Arsenal,47,Middlesbrough,4,1
3749133,22,2004-01-18,59,Aston Villa,1,Arsenal,0,2
3749233,23,2004-02-01,1,Arsenal,36,Manchester City,2,1
3749052,24,2004-02-07,46,Wolverhampton Wanderers,1,Arsenal,1,3
3749276,26,2004-02-21,33,Chelsea,1,Arsenal,1,2
3749642,27,2004-02-28,1,Arsenal,75,Charlton Athletic,2,1
3749465,28,2004-03-13,98,Blackburn Rovers,1,Arsenal,0,2
3749403,29,2004-03-20,1,Arsenal,328,Bolton Wanderers,2,1
3749246,30,2004-03-28,1,Arsenal,39,Manchester United,1,1
3749448,31,2004-04-09,1,Arsenal,24,Liverpool,4,2
3749453,33,2004-04-16,1,Arsenal,101,Leeds United,5,0
3749068,35,2004-04-25,38,Tottenham Hotspur,1,Arsenal,2,2
3749462,35,2004-05-01,1,Arsenal,54,Birmingham City,0,0
3749603,37,2004-05-09,55,Fulham,1,Arsenal,0,1
3749257,38,2004-05-15,1,Arsenal,22,Leicester City,2,1
